PR	3193694	2020-03-15
CA	39512223	2020-03-19
IL	12671821	2020-03-21
NJ	8882190	2020-03-21
NY	19453561	2020-03-22
CT	3565287	2020-03-23
LA	4648794	2020-03-23
MD	6045680	2020-03-23
OH	11689100	2020-03-23
OR	4217737	2020-03-23
WA	7614893	2020-03-23
DE	973764	2020-03-24
IN	6732219	2020-03-24
MA	6949503	2020-03-24
MI	9986857	2020-03-24
NM	2096829	2020-03-24
WV	1787147	2020-03-24
HI	1415872	2020-03-25
ID	1792065	2020-03-25
VT	623989	2020-03-25
WI	5822434	2020-03-25
CO	5758736	2020-03-26
KY	4467673	2020-03-26
MN	5639632	2020-03-27
NH	1359711	2020-03-27
AK	731545	2020-03-28
MT	1068778	2020-03-28
RI	1059361	2020-03-28
WY	578759	2020-03-28
KS	2913314	2020-03-30
NC	10488084	2020-03-30
VA	8535519	2020-03-30
AZ	7278717	2020-03-31
TN	6833174	2020-03-31
DC	705749	2020-04-01
NV	3080156	2020-04-01
PA	12801989	2020-04-01
ME	1344212	2020-04-02
TX	28995881	2020-04-02
FL	21477737	2020-04-03
GA	10617423	2020-04-03
MS	2976149	2020-04-03
AL	4903185	2020-04-04
MO	6137428	2020-04-06
AR	3017825	2020-04-30
GU	165718	2020-04-30
IA	3155070	2020-04-30
NE	1934408	2020-04-30
ND	762062	2020-04-30
OK	3956971	2020-04-30
SC	5148714	2020-04-30
SD	884659	2020-04-30
UT	3205958	2020-04-30
ALL	0	2020-03-24
